"","V1","V2","V3","V4","V5","V6"
"1","Hello, Chicago!","Go ahead.","We have to do that for our country.","No, not you.","They learned that.","They learned that."
"2","It's good to be home!","They have been magnificent.","I hope we get along.","I hope we get along.","This is your celebration.","I'd do a very good job."
"3","Thank you.","They learned that.","They learned that.","Thank you.","Go ahead.","November 8."
"4","Thank you, everybody.","Go ahead.","November 8.","Go ahead.","Thank you.","Go ahead."
"5","Thank you.","Go ahead.","Go ahead.","November 8.","November 8.","Thank you."
"6","Thank you so much.","Go ahead.","Go ahead.","November 8.","November 8.","Thank you."
"7","Thank you.","Go ahead.","I think they're doing very well.","No, not you.","November 8.","Thank you."
"8","It's good to be home.","They have been magnificent.","I hope we get along.","I hope we get along.","This is your celebration.","I'd do a very good job."
"9","Thanks.","But I don't want to do that.","OK.","Hard to believe.","Hard to believe.","I have many people from Mexico working for me."
"10","All right, everybody sit down.","These are amazing people.","These are amazing people.","He shouldn't be doing it.","He shouldn't be doing it.","We'll do it right."
"11","We're on live TV here.","Don't be rude.","We had Jack Ma.","I didn't tell her.","I don't want that.","I didn't tell her."
"12","I've got to—I've got to move.","It's very interesting how it's going.","I heard he's a nice guy actually.","It's very interesting how it's going.","So there's — maybe it's my office.","Don't be rude."
"13","You can tell that I'm a lame duck because nobody's following instructions.","And immediately the word got out that I had a meeting.","And immediately the word got out that I had a meeting.","This is not believable, but this is what's happening -- refugees on top of existing massive refugee flows coming into our country under President Obama.","And I don't care as long as it's within the United States.","Clinton's plan would trigger a constitutional crisis unlike almost anything we have ever seen before."
"14","Everybody have a seat.","Go ahead.","I could name them, but I won't bother.","Go ahead.","Go ahead.","Yeah, go ahead."
"15","My fellow Americans, Michelle and I have been so touched by all the well wishes that we've received over the past few weeks.","This is for presidents because they don't want presidents getting — I understand, they don't want presidents getting tangled in minutiae.","So if you want to hear the corporate spin, the carefully-crafted lies, and the media myths the Democrats are holding their convention next week.","It was many, many years old.","Go there.","This is for presidents because they don't want presidents getting — I understand, they don't want presidents getting tangled in minutiae."
"16","But tonight, tonight it's my turn to say thanks.","They'd drop them across, right across, and they'd come back.","Now, you know this is where it all began for me.","They'd drop them across, right across, and they'd come back.","This Administration has failed America's inner cities.","I saw the information."
"17","Whether we have seen eye to eye or rarely agreed at all, my conversations with you, the American people, in living rooms and in schools, at farms, on factory floors, at diners and on distant military outposts—those conversations are what have kept me honest and kept me inspired and kept me going.","To all Americans tonight, in all our cities and towns, I make this promise:We Will Make America Strong Again.","When I am President, I will work to ensure that all of our kids are treated equally, and protected equally.","And by the way, Melania and Ivanka -- did they do a job?","I wonder sometimes what he'd say if he were here to see this and to see me tonight.","And to establish new immigration controls to boost wages and to ensure that open jobs are offered to American workers first."
"18","And every day, I have learned from you.","She could pick 'em out from anywhere.","I wonder sometimes what he'd say if he were here to see this and to see me tonight.","Hard to believe with the power we have.","And Hillary Clinton is going to do nothing for the African- American worker, the Latino worker.","And Hillary Clinton is going to do nothing for the African- American worker, the Latino worker."
"19","You made me a better President, and you made me a better man.","They are going to be running it in a very professional manner.","And what I'm going to be doing is my two sons, who are right here, Don and Eric, are going to be running the company.","The establishment protected itself, but not the citizens of our country.","It's waiting to see if we will rise to the occasion, and if we will show the whole world that America is still free and independent and strong.","They are going to be running it in a very professional manner."
"20","So I first came to Chicago when I was in my early twenties.","It belongs to everyone gathered here today and everyone watching all across America.","Day one, my first hour in office, those people are gone.","She's done nothing.","Number one in her class.","Day one, my first hour in office, those people are gone."
"21","And I was still trying to figure out who I was, still searching for a purpose in my life.","What you should do is go down to federal elections and take a look at the numbers.","Number one in her class.","And you can call it deported if you want.","What you should do is go down to federal elections and take a look at the numbers.","Because today we are not merely transferring power from one administration to another or from one party to another, but we are transferring power from Washington, DC, and giving it back to you, the people."
"22","And it was a neighborhood not far from here where I began working with church groups in the shadows of closed steel mills.","These are just and reasonable demands of righteous people and a righteous public.","We're going to get health care taken care of in this country.","It's because of him that I learned, from my youngest age, to respect the dignity of work and the dignity of working people.","Every action I take, I will ask myself: does this make better for young Americans in Baltimore, in Chicago, in Detroit, in Ferguson who have as much of a right to live out their dreams as any other child America?","One by one, the factories shuttered and left our shores, with not even a thought about the millions and millions of American workers that were left behind."
"23","It was on these streets where I witnessed the power of faith and the quiet dignity of working people in the face of struggle and loss.","Obamacare is the Democrats' problem.","Obamacare is the Democrats' problem.","You have deductibles that are so high that after people go broke paying their premiums, which are going through the roof, the health care can't even be used by them because the deductibles are so high.","To my sisters Mary Anne and Elizabeth, my brother Robert and my late brother Fred, I will always give you my love you are most special to me.","You have deductibles that are so high that after people go broke paying their premiums, which are going through the roof, the health care can't even be used by them because the deductibles are so high."
"24","Audience members.","Wait, wait, wait.","Wait, wait, wait.","Are you ready?","Are you ready?","It didn't happen."
"25","Four more years!","November 8.","November 8.","That's what it is.","She's done nothing.","Means so much."
"26","Four more years!","I was in Russia years ago with the Miss Universe contest, which did very well.","Number one in her class.","Day one, my first hour in office, those people are gone.","And just look at the past.","She's been there for 35 years."
"27","Four more years!","That's what it is.","November 8.","November 8.","And just look at the past.","I was in Russia years ago with the Miss Universe contest, which did very well."
"28","The President.","President Eisenhower.","Assimilation, an important word.","So important.","President Eisenhower.","Assimilation, an important word."
"29","I can't do that.","Go ahead.","November 8.","Go ahead.","Thank you.","Go ahead."
"30","Audience members.","Wait, wait, wait.","Wait, wait, wait.","Are you ready?","Are you ready?","It didn't happen."
"31","Four more years!","November 8.","November 8.","That's what it is.","Number one in her class.","And just look at the past."
"32","Four more years!","I was in Russia years ago with the Miss Universe contest, which did very well.","Number one in her class.","Day one, my first hour in office, those people are gone.","And just look at the past.","She's been there for 35 years."
"33","Four more years!","That's what it is.","November 8.","November 8.","And just look at the past.","I was in Russia years ago with the Miss Universe contest, which did very well."
"34","The President.","President Eisenhower.","Assimilation, an important word.","So important.","President Eisenhower.","So important."
"35","Now, this is where I learned that change only happens when ordinary people get involved and they get engaged and they come together to demand it.","Now is the time for all of us as one country, Democrat, Republican, liberal, conservative to band together to deliver justice, and safety, and security for all Americans.","I don't feel like waiting a year or a year and a half.","She didn't know.","She didn't go to Louisiana.","She didn't go to Louisiana."
"36","After 8 years as your President, I still believe that.","They can guide you any way they want to guide you.","Let me tell you who it does not serve.","Let me tell you who it does not serve.","They can guide you any way they want to guide you.","It does not serve you the American people."
"37","And it's not just my belief.","These are amazing women.","These are amazing women.","These are amazing people.","Thank you.","Thank you."
"38","It's the beating heart of our American idea, our bold experiment in self-government.","Our government has no idea.","Iraq was seeing a big, big reduction in violence.","We're like the big bully that keeps getting beat up.","I've been hearing it.","I've been hearing it."
"39","It's the conviction that we are all created equal, endowed by our Creator with certain unalienable rights, among them life, liberty, and the pursuit of happiness.","An ideological certification to make sure that those we are admitting to our country share our values and love our people.","We can accomplish these great things, and so much else – all we need to do is start believing in ourselves and in our country again.","Oh, we love defeating those people, don't we?","President Obama and Hillary Clinton have engaged in gross dereliction of duty by surrendering the safety of the American people to open borders, and you know it better than anybody right here in Arizona.","Thank you."
